Time,Open,High,Low,Close
2018-01-25 10:39,1.25123,1.25133,1.25107,1.25124
2018-01-25 10:40,1.25123,1.25146,1.25109,1.25138
2018-01-25 10:41,1.25137,1.25146,1.25122,1.25127
2018-01-25 10:42,1.25125,1.25147,1.25117,1.25118
2018-01-25 10:43,1.25121,1.25131,1.25100,1.25104
2018-01-25 10:44,1.25104,1.25122,1.25098,1.25100
2018-01-25 10:45,1.25100,1.25121,1.25097,1.25121
2018-01-25 10:46,1.25120,1.25140,1.25099,1.25103
2018-01-25 10:47,1.25104,1.25120,1.25097,1.25115
2018-01-25 10:48,1.25113,1.25114,1.25098,1.25099
2018-01-25 10:49,1.25100,1.25102,1.25044,1.25091
2018-01-25 10:50,1.25090,1.25110,1.25061,1.25067
2018-01-25 10:51,1.25065,1.25070,1.25041,1.25063
2018-01-25 10:52,1.25064,1.25072,1.25040,1.25040
2018-01-25 10:53,1.25039,1.25046,1.25038,1.25045
2018-01-25 10:54,1.25046,1.25068,1.24999,1.25052
2018-01-25 10:55,1.25050,1.25061,1.25024,1.25025
2018-01-25 10:56,1.25023,1.25046,1.25016,1.25017
2018-01-25 10:57,1.25016,1.25034,1.24960,1.25032
2018-01-25 10:58,1.25033,1.25038,1.25000,1.25017
2018-01-25 10:59,1.25016,1.25039,1.25010,1.25039
2018-01-25 11:00,1.25042,1.25051,1.25017,1.25039
2018-01-25 11:01,1.25040,1.25050,1.25023,1.25027
2018-01-25 11:02,1.25031,1.25032,1.24988,1.24989
2018-01-25 11:03,1.24991,1.25001,1.24918,1.24919
2018-01-25 11:04,1.24918,1.24927,1.24887,1.24911
2018-01-25 11:05,1.24912,1.24947,1.24905,1.24938
2018-01-25 11:06,1.24937,1.24937,1.24889,1.24922
2018-01-25 11:07,1.24922,1.24922,1.24875,1.24878
2018-01-25 11:08,1.24879,1.24903,1.24870,1.24872
2018-01-25 11:09,1.24871,1.24902,1.24861,1.24876
2018-01-25 11:10,1.24876,1.24904,1.24855,1.24903
2018-01-25 11:11,1.24904,1.24942,1.24897,1.24929
2018-01-25 11:12,1.24931,1.24940,1.24856,1.24861
2018-01-25 11:13,1.24862,1.24897,1.24852,1.24894
2018-01-25 11:14,1.24896,1.24937,1.24888,1.24925
